Rank,Athlete,Distance,Runs,Longest,Avg. Pace,Elev. Gain,timestamp,location,Activities,Time,time_hold,dist_LA,dist_float,avg_pace_float,avg_pace_km_min,time_spent,National Rank,Location Rank,elevation_gain
5,Nadah F.,21.2 km,3.0,9.6 km,6:04 /km,6 m,2022-11-13 16:18:13.638756,"San Francisco, CA",,,,,21.2,"['6', '04']",6.066666666666666,128.61333333333332,46,5,6.0
6,Mohammed R.,20.6 km,2.0,10.5 km,5:33 /km,350 m,2022-11-13 16:18:13.638756,"San Francisco, CA",,,,,20.6,"['5', '33']",5.55,114.33,47,6,350.0
7,Rachel S.,18.7 km,3.0,7.6 km,8:24 /km,--,2022-11-13 16:18:13.638756,"San Francisco, CA",,,,,18.7,"['8', '24']",8.4,157.08,48,7,0.0
9,Maryam R.,18.6 km,3.0,8.0 km,6:49 /km,64 m,2022-11-13 16:18:13.638756,"New York, NY",,,,,18.6,"['6', '49']",6.816666666666666,126.79,49,9,64.0
17,Maryam A.,17.7 km,1.0,17.7 km,7:23 /km,40 m,2022-11-13 16:18:13.638756,"Dallas, TX",,,,,17.7,"['7', '23']",7.383333333333334,130.685,50,17,40.0
8,Johana B.,17.5 km,3.0,8.0 km,5:39 /km,75 m,2022-11-13 16:18:13.638756,"San Francisco, CA",,,,,17.5,"['5', '39']",5.65,98.875,51,8,75.0
10,Johana B.,17.5 km,3.0,8.0 km,5:39 /km,75 m,2022-11-13 16:18:13.638756,"New York, NY",,,,,17.5,"['5', '39']",5.65,98.875,52,10,75.0
2,shajee’ah 🐿.,17.4 km,3.0,6.6 km,5:30 /km,76 m,2022-11-13 16:18:13.638756,"Washington, DC",,,,,17.4,"['5', '30']",5.5,95.69999999999999,53,2,76.0
11,Duaa E.,16.7 km,3.0,8.0 km,7:25 /km,15 m,2022-11-13 16:18:13.638756,"New York, NY",,,,,16.7,"['7', '25']",7.416666666666667,123.85833333333333,54,11,15.0
3,ibrahim g.,16.4 km,2.0,11.6 km,5:31 /km,53 m,2022-11-13 16:18:13.638756,"Detroit, MI",,,,,16.4,"['5', '31']",5.516666666666667,90.47333333333333,55,3,53.0
12,Mahaa M.,16.3 km,5.0,6.7 km,6:56 /km,26 m,2022-11-13 16:18:13.638756,"New York, NY",,,,,16.3,"['6', '56']",6.933333333333334,113.01333333333334,56,12,26.0
9,Mahaa M.,16.3 km,5.0,6.7 km,6:56 /km,26 m,2022-11-13 16:18:13.638756,"San Francisco, CA",,,,,16.3,"['6', '56']",6.933333333333334,113.01333333333334,57,9,26.0
2,Mohammed B.,16.3 km,2.0,10.0 km,5:54 /km,35 m,2022-11-13 16:18:13.638756,"Seattle, WA",,,,,16.3,"['5', '54']",5.9,96.17000000000002,58,2,35.0
10,Mohammed B.,16.3 km,2.0,10.0 km,5:54 /km,35 m,2022-11-13 16:18:13.638756,"San Francisco, CA",,,,,16.3,"['5', '54']",5.9,96.17000000000002,59,10,35.0
5,Ahmed A.,15.9 km,,,9:37 /km,--,2022-11-13 16:18:13.638756,"Los Angeles, CA",4.0,2h 33m,153.0,15.9,15.9,"['9', '37']",9.616666666666667,152.905,60,5,0.0
18,Usman R.,15.3 km,4.0,7.4 km,6:10 /km,17 m,2022-11-13 16:18:13.638756,"Dallas, TX",,,,,15.3,"['6', '10']",6.166666666666667,94.35000000000001,61,18,17.0
11,Jennifer G.,15.2 km,3.0,8.6 km,6:25 /km,290 m,2022-11-13 16:18:13.638756,"San Francisco, CA",,,,,15.2,"['6', '25']",6.416666666666667,97.53333333333333,62,11,290.0
12,Nadeen I.,15.0 km,4.0,4.7 km,6:29 /km,29 m,2022-11-13 16:18:13.638756,"San Francisco, CA",,,,,15.0,"['6', '29']",6.483333333333333,97.25,63,12,29.0
8,Reem E.,14.3 km,2.0,10.0 km,7:07 /km,6 m,2022-11-13 16:18:13.638756,"Chicago, IL",,,,,14.3,"['7', '07']",7.116666666666666,101.76833333333333,64,8,6.0
13,Nausheen M.,14.3 km,2.0,7.9 km,6:22 /km,--,2022-11-13 16:18:13.638756,"San Francisco, CA",,,,,14.3,"['6', '22']",6.366666666666666,91.04333333333334,65,13,0.0
9,Osmaan A.,14.2 km,3.0,6.6 km,7:30 /km,38 m,2022-11-13 16:18:13.638756,"Chicago, IL",,,,,14.2,"['7', '30']",7.5,106.5,66,9,38.0
3,Wafia A.,13.5 km,3.0,5.1 km,8:27 /km,--,2022-11-13 16:18:13.638756,"Washington, DC",,,,,13.5,"['8', '27']",8.45,114.07499999999999,67,3,0.0
